,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
403,260,동래구,510,수민동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
405,260,동래구,510,수민동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
406,230,부산진구,790,범천4동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
407,230,부산진구,790,범천4동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
408,230,부산진구,790,범천4동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
409,230,부산진구,790,범천4동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
410,230,부산진구,780,범천2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
411,230,부산진구,780,범천2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
412,230,부산진구,780,범천2동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
413,230,부산진구,780,범천2동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
414,230,부산진구,780,범천2동,안창배수지,배수지,6.97,0.10,0.41,-,-,정상
415,230,부산진구,780,범천2동,범천2동,블록,7.03,0.09,0.29,235.10,29.30,정상
416,230,부산진구,770,범천1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
417,230,부산진구,770,범천1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
418,230,부산진구,770,범천1동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
419,230,부산진구,770,범천1동,범천1동,블록,7.29,0.12,0.26,288.10,28.90,정상
420,230,부산진구,760,개금3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
421,230,부산진구,760,개금3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
422,230,부산진구,760,개금3동,개금3동,블록,7.28,0.03,0.48,370.00,29.60,정상
423,230,부산진구,750,개금2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
424,230,부산진구,750,개금2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
425,230,부산진구,750,개금2동,개금2배수지,배수지,7.72,0.12,0.32,238.42,29.57,정상
426,230,부산진구,750,개금2동,개금2동,블록,7.65,0.07,0.15,283.77,-,정상
427,230,부산진구,740,개금1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
428,230,부산진구,740,개금1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
429,230,부산진구,740,개금1동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
430,230,부산진구,740,개금1동,개금1동,블록,7.26,0.06,0.54,231.30,28.40,정상
431,230,부산진구,730,가야3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
432,230,부산진구,730,가야3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
433,230,부산진구,730,가야3동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
434,230,부산진구,720,가야2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
435,230,부산진구,720,가야2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
436,230,부산진구,720,가야2동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
437,230,부산진구,710,가야1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
438,230,부산진구,710,가야1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
439,230,부산진구,710,가야1동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
440,230,부산진구,710,가야1동,가야1동,블록,7.22,0.06,0.35,271.90,26.20,정상
441,230,부산진구,700,당감4동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
442,230,부산진구,700,당감4동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
443,230,부산진구,700,당감4동,당감배수지,배수지,7.19,0.13,0.49,303.90,29.38,정상
444,230,부산진구,690,당감3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
445,230,부산진구,690,당감3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
446,230,부산진구,680,당감2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
447,230,부산진구,680,당감2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
448,230,부산진구,670,당감1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
449,230,부산진구,670,당감1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
450,230,부산진구,670,당감1동,당감1동,블록,7.18,0.05,0.48,232.60,29.00,정상
451,230,부산진구,660,부암3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
452,230,부산진구,660,부암3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
453,230,부산진구,660,부암3동,당감배수지,배수지,7.19,0.13,0.49,303.90,29.38,정상
454,230,부산진구,640,부암1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
455,230,부산진구,640,부암1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
456,230,부산진구,640,부암1동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
457,230,부산진구,640,부암1동,부암1동,블록,7.18,0.05,0.48,232.60,29.00,정상
458,230,부산진구,620,전포3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
459,230,부산진구,620,전포3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
460,230,부산진구,620,전포3동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
461,230,부산진구,620,전포3동,문현배수지,배수지,7.00,0.07,0.23,273.34,30.41,정상
462,230,부산진구,620,전포3동,전포3동,블록,7.13,0.07,0.18,305.30,28.90,정상
463,230,부산진구,610,전포2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
464,230,부산진구,610,전포2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
465,230,부산진구,610,전포2동,전포1배수지,배수지,7.06,0.12,0.47,331.04,28.59,미운영
466,230,부산진구,610,전포2동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
467,230,부산진구,610,전포2동,전포2동,블록,7.39,0.03,0.53,-,-,정상
468,230,부산진구,600,전포1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
469,230,부산진구,600,전포1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
470,230,부산진구,600,전포1동,전포1배수지,배수지,7.06,0.12,0.47,331.04,28.59,미운영
471,230,부산진구,600,전포1동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
472,230,부산진구,600,전포1동,전포1동,블록,7.39,0.03,0.53,-,-,정상
473,230,부산진구,570,양정2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
474,230,부산진구,570,양정2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
476,230,부산진구,570,양정2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
477,230,부산진구,570,양정2동,전포1배수지,배수지,7.06,0.12,0.47,331.04,28.59,미운영
478,230,부산진구,570,양정2동,연산배수지,배수지,7.10,0.14,0.22,224.91,29.57,정상
479,230,부산진구,560,양정1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
480,230,부산진구,560,양정1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
482,230,부산진구,560,양정1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
483,230,부산진구,560,양정1동,전포1배수지,배수지,7.06,0.12,0.47,331.04,28.59,미운영
484,230,부산진구,560,양정1동,거제배수지,배수지,6.86,0.08,0.09,-,-,정상
485,230,부산진구,560,양정1동,연산배수지,배수지,7.10,0.14,0.22,224.91,29.57,정상
486,230,부산진구,550,초읍동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
488,230,부산진구,550,초읍동,거제배수지,배수지,6.86,0.08,0.09,-,-,정상
489,230,부산진구,540,연지동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
491,230,부산진구,540,연지동,거제배수지,배수지,6.86,0.08,0.09,-,-,정상
492,230,부산진구,540,연지동,연지동,블록,7.19,0.09,0.21,314.70,29.10,정상
493,230,부산진구,530,범전동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
494,230,부산진구,530,범전동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
495,230,부산진구,530,범전동,전포1배수지,배수지,7.06,0.12,0.47,331.04,28.59,미운영
496,230,부산진구,520,부전2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
497,230,부산진구,520,부전2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
498,230,부산진구,520,부전2동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
499,230,부산진구,510,부전1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
500,230,부산진구,510,부전1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
501,230,부산진구,510,부전1동,전포1배수지,배수지,7.06,0.12,0.47,331.04,28.59,미운영
502,230,부산진구,510,부전1동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
503,200,영도구,670,동삼3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
504,200,영도구,670,동삼3동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
505,200,영도구,670,동삼3동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
506,200,영도구,670,동삼3동,해돋이배수지,배수지,7.65,0.09,0.37,242.50,31.40,정상
507,200,영도구,670,동삼3동,동삼부스타,펌프장,7.22,0.21,0.36,-,-,정상
508,200,영도구,660,동삼2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
509,200,영도구,660,동삼2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
510,200,영도구,660,동삼2동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
511,200,영도구,660,동삼2동,동삼부스타,펌프장,7.22,0.21,0.36,-,-,정상
512,200,영도구,650,동삼1동,해돋이배수지,배수지,7.65,0.09,0.37,242.50,31.40,정상
513,200,영도구,650,동삼1동,동삼부스타,펌프장,7.22,0.21,0.36,-,-,정상
514,200,영도구,650,동삼1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
515,200,영도구,650,동삼1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
516,200,영도구,650,동삼1동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
517,200,영도구,640,청학2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
518,200,영도구,640,청학2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
519,200,영도구,640,청학2동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
520,200,영도구,640,청학2동,해돋이배수지,배수지,7.65,0.09,0.37,242.50,31.40,정상
521,200,영도구,640,청학2동,동삼부스타,펌프장,7.22,0.21,0.36,-,-,정상
522,200,영도구,640,청학2동,청학2동,블록,7.35,0.08,0.57,263.84,28.60,정상
523,200,영도구,630,청학1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
524,200,영도구,630,청학1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
525,200,영도구,630,청학1동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
526,200,영도구,630,청학1동,영도배수지,배수지,7.34,0.07,0.36,204.90,28.99,정상
527,200,영도구,630,청학1동,해돋이배수지,배수지,7.65,0.09,0.37,242.50,31.40,정상
528,200,영도구,630,청학1동,청학1동,블록,7.35,0.08,0.57,263.84,28.60,정상
529,200,영도구,605,봉래2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
530,200,영도구,605,봉래2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
531,200,영도구,605,봉래2동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
532,200,영도구,605,봉래2동,영도배수지,배수지,7.34,0.07,0.36,204.90,28.99,정상
533,200,영도구,605,봉래2동,해돋이배수지,배수지,7.65,0.09,0.37,242.50,31.40,정상
534,200,영도구,605,봉래2동,봉래2동,블록,7.71,0.10,0.57,263.84,28.60,정상
535,200,영도구,590,봉래1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
536,200,영도구,590,봉래1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
537,200,영도구,590,봉래1동,봉래1동,블록,7.71,0.10,0.46,-,-,정상
538,200,영도구,585,신선동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
539,200,영도구,585,신선동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
540,200,영도구,585,신선동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
541,200,영도구,585,신선동,영도배수지,배수지,7.34,0.07,0.36,204.90,28.99,정상
542,200,영도구,585,신선동,신선동,블록,7.17,0.09,0.59,202.94,28.80,정상
543,200,영도구,570,신선2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
545,200,영도구,570,신선2동,연산배수지,배수지,7.10,0.14,0.22,224.91,29.57,정상
546,200,영도구,550,영선2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
547,200,영도구,550,영선2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
548,200,영도구,550,영선2동,청학배수지,배수지,7.15,0.08,0.55,285.96,28.50,정상
549,200,영도구,550,영선2동,영도배수지,배수지,7.34,0.07,0.36,204.90,28.99,정상
550,200,영도구,550,영선2동,영선2동,블록,7.17,0.09,0.59,202.94,28.80,정상
551,200,영도구,540,영선1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
552,200,영도구,540,영선1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
553,200,영도구,530,남항동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
554,200,영도구,530,남항동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
555,170,동구,680,범일5동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
556,170,동구,680,범일5동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
557,170,동구,680,범일5동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
558,170,동구,670,범일4동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
559,170,동구,670,범일4동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
560,170,동구,670,범일4동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
561,170,동구,670,범일4동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
562,170,동구,670,범일4동,수정1배수지,배수지,7.28,0.09,0.37,265.37,30.00,정상
563,170,동구,670,범일4동,안창배수지,배수지,6.97,0.10,0.41,-,-,정상
564,170,동구,670,범일4동,범일4동,블록,7.21,0.09,0.50,249.60,27.90,정상
565,170,동구,660,범일2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
566,170,동구,660,범일2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
567,170,동구,660,범일2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
568,170,동구,660,범일2동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
569,170,동구,660,범일2동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
570,170,동구,650,범일1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
571,170,동구,650,범일1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
572,170,동구,650,범일1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
573,170,동구,650,범일1동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
574,170,동구,650,범일1동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
575,170,동구,650,범일1동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
576,170,동구,650,범일1동,수정1배수지,배수지,7.28,0.09,0.37,265.37,30.00,정상
577,170,동구,650,범일1동,범일1동,블록,7.21,0.09,0.50,249.60,27.90,정상
578,170,동구,640,좌천4동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
579,170,동구,640,좌천4동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
580,170,동구,640,좌천4동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
581,170,동구,640,좌천4동,좌천4동,블록,7.21,0.09,0.50,249.60,27.90,정상
582,170,동구,610,좌천1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
583,170,동구,610,좌천1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
584,170,동구,610,좌천1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
585,170,동구,610,좌천1동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
586,170,동구,610,좌천1동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
587,170,동구,610,좌천1동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
588,170,동구,610,좌천1동,수정1배수지,배수지,7.28,0.09,0.37,265.37,30.00,정상
589,170,동구,610,좌천1동,좌천1동,블록,7.23,0.06,0.16,-,-,정상
590,170,동구,600,수정5동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
591,170,동구,600,수정5동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
592,170,동구,600,수정5동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
593,170,동구,600,수정5동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
594,170,동구,600,수정5동,수정1배수지,배수지,7.28,0.09,0.37,265.37,30.00,정상
595,170,동구,600,수정5동,수정5동,블록,7.23,0.09,0.50,249.60,27.90,정상
596,170,동구,590,수정4동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
597,170,동구,590,수정4동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
598,170,동구,590,수정4동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
599,170,동구,580,수정3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
600,170,동구,580,수정3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
601,170,동구,580,수정3동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
602,170,동구,580,수정3동,수정1배수지,배수지,7.28,0.09,0.37,265.37,30.00,정상
603,170,동구,570,수정2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
604,170,동구,570,수정2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
605,170,동구,570,수정2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
606,170,동구,570,수정2동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
607,170,동구,570,수정2동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
608,170,동구,570,수정2동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
609,170,동구,570,수정2동,수정1배수지,배수지,7.28,0.09,0.37,265.37,30.00,정상
610,170,동구,570,수정2동,수정2동,블록,7.23,0.06,0.16,-,-,정상
611,170,동구,560,수정1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
612,170,동구,560,수정1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
613,170,동구,560,수정1동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
614,170,동구,560,수정1동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
615,170,동구,560,수정1동,수정1동,블록,7.17,0.08,0.62,255.35,30.40,정상
616,170,동구,550,초량6동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
617,170,동구,550,초량6동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
618,170,동구,550,초량6동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
619,170,동구,530,초량3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
620,170,동구,530,초량3동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
621,170,동구,530,초량3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
622,170,동구,530,초량3동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
623,170,동구,530,초량3동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
624,170,동구,530,초량3동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
625,170,동구,530,초량3동,초량3동,블록,7.17,0.08,0.62,255.35,30.40,정상
626,170,동구,520,초량2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
627,170,동구,520,초량2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
628,170,동구,520,초량2동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
629,170,동구,520,초량2동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
630,170,동구,510,초량1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
631,170,동구,510,초량1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
632,170,동구,510,초량1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
633,170,동구,510,초량1동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
634,170,동구,510,초량1동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
635,140,서구,680,암남동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
636,140,서구,680,암남동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
637,140,서구,680,암남동,남부민배수지,배수지,7.29,0.07,0.33,329.13,29.90,정상
638,140,서구,680,암남동,감천배수지,배수지,7.03,0.08,0.38,255.50,29.07,정상
639,140,서구,670,남부민3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
640,140,서구,670,남부민3동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
641,140,서구,670,남부민3동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
642,140,서구,670,남부민3동,남부민배수지,배수지,7.29,0.07,0.33,329.13,29.90,정상
643,140,서구,660,남부민2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
644,140,서구,660,남부민2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
645,140,서구,660,남부민2동,남부민배수지,배수지,7.29,0.07,0.33,329.13,29.90,정상
646,140,서구,660,남부민2동,대티배수지,배수지,7.32,0.09,0.39,298.50,30.99,정상
647,140,서구,660,남부민2동,남부민2동,블록,7.01,0.10,0.40,-,-,정상
648,140,서구,650,남부민1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
649,140,서구,650,남부민1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
650,140,서구,650,남부민1동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
651,140,서구,650,남부민1동,남부민배수지,배수지,7.29,0.07,0.33,329.13,29.90,정상
652,140,서구,650,남부민1동,대티배수지,배수지,7.32,0.09,0.39,298.50,30.99,정상
653,140,서구,650,남부민1동,남부민1동,블록,7.32,0.10,0.40,265.68,28.60,정상
654,140,서구,640,충무동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
655,140,서구,640,충무동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
656,140,서구,640,충무동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
657,140,서구,630,초장동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
658,140,서구,630,초장동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
659,140,서구,630,초장동,남부민배수지,배수지,7.29,0.07,0.33,329.13,29.90,정상
660,140,서구,630,초장동,대티배수지,배수지,7.32,0.09,0.39,298.50,30.99,정상
661,140,서구,630,초장동,초장동,블록,7.32,0.10,0.40,265.68,28.60,정상
662,140,서구,615,아미동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
663,140,서구,615,아미동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
664,140,서구,615,아미동,대티배수지,배수지,7.32,0.09,0.39,298.50,30.99,정상
665,140,서구,615,아미동,아미배수지,배수지,7.45,0.22,0.44,331.66,30.25,정상
666,140,서구,615,아미동,대티2배수지,배수지,7.23,0.16,0.48,275.95,28.47,정상
667,140,서구,615,아미동,아미동,블록,7.53,0.11,0.36,296.80,28.77,정상
668,140,서구,590,부민동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
669,140,서구,590,부민동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
670,140,서구,590,부민동,대티배수지,배수지,7.32,0.09,0.39,298.50,30.99,정상
671,140,서구,570,서대신4동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
672,140,서구,570,서대신4동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
673,140,서구,570,서대신4동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
674,140,서구,570,서대신4동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
675,140,서구,570,서대신4동,구덕배수지,배수지,7.79,0.08,0.33,-,32.00,정상
676,140,서구,570,서대신4동,대티2배수지,배수지,7.23,0.16,0.48,275.95,28.47,정상
677,140,서구,570,서대신4동,꽃마을배수지,배수지,7.38,0.07,0.01,276.96,27.15,정상
678,140,서구,570,서대신4동,서대신4동,블록,7.61,0.10,0.28,334.46,29.42,정상
679,140,서구,560,서대신3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
680,140,서구,560,서대신3동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
681,140,서구,560,서대신3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
682,140,서구,560,서대신3동,대티배수지,배수지,7.32,0.09,0.39,298.50,30.99,정상
683,140,서구,560,서대신3동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
684,140,서구,560,서대신3동,대티2배수지,배수지,7.23,0.16,0.48,275.95,28.47,정상
685,140,서구,560,서대신3동,서대신3동,블록,7.17,0.08,0.28,219.86,29.42,정상
686,140,서구,540,서대신1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
687,140,서구,540,서대신1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
688,140,서구,540,서대신1동,대티배수지,배수지,7.32,0.09,0.39,298.50,30.99,정상
689,140,서구,540,서대신1동,대티2배수지,배수지,7.23,0.16,0.48,275.95,28.47,정상
690,140,서구,530,동대신3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
691,140,서구,530,동대신3동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
692,140,서구,530,동대신3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
693,140,서구,530,동대신3동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
694,140,서구,530,동대신3동,구덕배수지,배수지,7.79,0.08,0.33,-,32.00,정상
695,140,서구,530,동대신3동,동대신3동,블록,7.14,0.36,0.60,-,-,정상
696,140,서구,520,동대신2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
697,140,서구,520,동대신2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
698,140,서구,520,동대신2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
699,140,서구,520,동대신2동,구덕배수지,배수지,7.79,0.08,0.33,-,32.00,정상
700,140,서구,520,동대신2동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
