,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
92,470,연제구,690,연산5동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
93,470,연제구,690,연산5동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
95,470,연제구,690,연산5동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
96,470,연제구,680,연산4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
98,470,연제구,670,연산3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
100,470,연제구,670,연산3동,연산배수지,배수지,7.10,0.14,0.22,224.91,29.57,정상
101,470,연제구,660,연산2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
103,470,연제구,660,연산2동,연산배수지,배수지,7.10,0.14,0.22,224.91,29.57,정상
104,470,연제구,650,연산1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
106,470,연제구,640,거제4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
108,470,연제구,640,거제4동,거제배수지,배수지,6.86,0.08,0.09,-,-,정상
109,470,연제구,630,거제3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
110,470,연제구,630,거제3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
111,470,연제구,620,거제2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
112,470,연제구,620,거제2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
114,470,연제구,620,거제2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
115,470,연제구,620,거제2동,거제배수지,배수지,6.86,0.08,0.09,-,-,정상
116,470,연제구,610,거제1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
117,470,연제구,610,거제1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
119,470,연제구,610,거제1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
120,440,강서구,560,녹산동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
121,440,강서구,560,녹산동,녹산배수지,배수지,7.20,0.17,0.41,-,-,정상
122,440,강서구,560,녹산동,지사생활용수배수지,배수지,7.17,0.09,0.32,-,-,정상
123,440,강서구,560,녹산동,녹산동,블록,7.21,0.08,0.49,281.32,28.10,정상
124,440,강서구,550,가락동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
125,440,강서구,540,명지동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
126,440,강서구,540,명지동,명지동,블록,6.92,0.19,0.43,-,-,정상
127,440,강서구,530,강동동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
128,440,강서구,530,강동동,강동동,블록,6.92,0.19,0.43,-,-,정상
129,440,강서구,520,대저2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
130,440,강서구,520,대저2동,대저2동,블록,7.63,0.21,0.77,-,-,정상
131,440,강서구,510,대저1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
132,440,강서구,510,대저1동,대저1동,블록,7.63,0.21,0.77,-,-,정상
133,410,금정구,700,금성동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
135,410,금정구,690,구서2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
137,410,금정구,690,구서2동,남산배수지,배수지,7.37,0.11,0.13,196.87,28.10,정상
138,410,금정구,690,구서2동,구서2동,블록,6.21,0.11,0.14,309.28,29.00,정상
139,410,금정구,680,구서1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
141,410,금정구,670,남산동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
143,410,금정구,670,남산동,남산배수지,배수지,7.37,0.11,0.13,196.87,28.10,정상
144,410,금정구,670,남산동,남산동,블록,6.21,0.11,0.14,309.28,29.00,정상
145,410,금정구,665,청룡노포동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
147,410,금정구,665,청룡노포동,남산배수지,배수지,7.37,0.11,0.13,196.87,28.10,정상
148,410,금정구,635,선두구동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
150,410,금정구,620,장전3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
152,410,금정구,620,장전3동,장전3동,블록,6.90,0.15,0.12,292.24,28.19,정상
153,410,금정구,610,장전2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
156,410,금정구,600,장전1동,장전1동,블록,6.90,0.15,0.12,292.24,28.19,정상
157,410,금정구,600,장전1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
159,410,금정구,591,부곡4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
161,410,금정구,591,부곡4동,서동배수지,배수지,6.98,0.07,0.33,-,-,정상
162,410,금정구,590,부곡3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
164,410,금정구,580,부곡2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
166,410,금정구,570,부곡1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
169,410,금정구,550,금사동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
171,410,금정구,550,금사동,남산배수지,배수지,7.37,0.11,0.13,196.87,28.10,정상
174,410,금정구,520,서2동,서동배수지,배수지,6.98,0.07,0.33,-,-,정상
176,410,금정구,510,서1동,서동배수지,배수지,6.98,0.07,0.33,-,-,정상
177,380,사하구,630,감천2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
178,380,사하구,630,감천2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
179,380,사하구,630,감천2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
