,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
67,500,수영구,750,망미2동,명장배수지,배수지,7.60,0.04,0.46,245.10,26.60,정상
68,500,수영구,740,망미1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
69,500,수영구,740,망미1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
70,500,수영구,740,망미1동,망미배수지,배수지,7.33,0.07,0.28,-,-,정상
71,500,수영구,740,망미1동,연산배수지,배수지,7.10,0.10,0.21,251.48,29.09,정상
72,500,수영구,740,망미1동,망미1동,블록,7.62,0.10,0.14,249.71,29.80,정상
73,500,수영구,730,수영동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
74,500,수영구,730,수영동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
75,500,수영구,670,남천2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
76,500,수영구,670,남천2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
77,500,수영구,670,남천2동,남천2동,블록,7.65,0.18,0.37,-,-,정상
78,500,수영구,660,남천1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
79,500,수영구,660,남천1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
80,500,수영구,660,남천1동,남천1동,블록,7.65,0.18,0.37,-,-,정상
81,470,연제구,730,연산9동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
82,470,연제구,730,연산9동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
83,470,연제구,730,연산9동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
84,470,연제구,730,연산9동,명장배수지,배수지,7.60,0.04,0.46,245.10,26.60,정상
85,470,연제구,730,연산9동,연산배수지,배수지,7.10,0.10,0.21,251.48,29.09,정상
86,470,연제구,730,연산9동,연산9동,블록,7.16,0.16,0.66,96.82,29.90,정상
87,470,연제구,720,연산8동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
88,470,연제구,720,연산8동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
89,470,연제구,720,연산8동,연산8동,블록,6.79,0.16,0.18,331.28,29.90,정상
90,470,연제구,700,연산6동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
91,470,연제구,700,연산6동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
92,470,연제구,690,연산5동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
93,470,연제구,690,연산5동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
94,470,연제구,690,연산5동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
95,470,연제구,690,연산5동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
96,470,연제구,680,연산4동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
97,470,연제구,680,연산4동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
98,470,연제구,670,연산3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
99,470,연제구,670,연산3동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
100,470,연제구,670,연산3동,연산배수지,배수지,7.10,0.10,0.21,251.48,29.09,정상
101,470,연제구,660,연산2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
102,470,연제구,660,연산2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
103,470,연제구,660,연산2동,연산배수지,배수지,7.10,0.10,0.21,251.48,29.09,정상
104,470,연제구,650,연산1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
105,470,연제구,650,연산1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
106,470,연제구,640,거제4동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
107,470,연제구,640,거제4동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
108,470,연제구,640,거제4동,거제배수지,배수지,6.89,0.03,0.06,-,-,정상
109,470,연제구,630,거제3동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
110,470,연제구,630,거제3동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
111,470,연제구,620,거제2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
112,470,연제구,620,거제2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
113,470,연제구,620,거제2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
114,470,연제구,620,거제2동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
115,470,연제구,620,거제2동,거제배수지,배수지,6.89,0.03,0.06,-,-,정상
116,470,연제구,610,거제1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
117,470,연제구,610,거제1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
118,470,연제구,610,거제1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
119,470,연제구,610,거제1동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
120,440,강서구,560,녹산동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
121,440,강서구,560,녹산동,녹산배수지,배수지,7.19,0.23,0.42,-,-,정상
122,440,강서구,560,녹산동,지사생활용수배수지,배수지,7.18,0.09,0.48,-,-,정상
123,440,강서구,560,녹산동,녹산동,블록,7.21,0.07,0.50,248.72,28.10,정상
124,440,강서구,550,가락동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
125,440,강서구,540,명지동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
126,440,강서구,540,명지동,명지동,블록,7.28,0.17,0.47,-,-,정상
127,440,강서구,530,강동동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
128,440,강서구,530,강동동,강동동,블록,7.28,0.17,0.47,-,-,정상
129,440,강서구,520,대저2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
130,440,강서구,520,대저2동,대저2동,블록,7.62,0.19,0.83,-,-,정상
131,440,강서구,510,대저1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
132,440,강서구,510,대저1동,대저1동,블록,7.62,0.19,0.83,-,-,정상
133,410,금정구,700,금성동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
134,410,금정구,700,금성동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
135,410,금정구,690,구서2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
136,410,금정구,690,구서2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
137,410,금정구,690,구서2동,남산배수지,배수지,7.42,0.08,0.03,212.90,28.92,정상
138,410,금정구,690,구서2동,구서2동,블록,6.14,0.09,0.12,312.50,28.90,정상
139,410,금정구,680,구서1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
140,410,금정구,680,구서1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
141,410,금정구,670,남산동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
142,410,금정구,670,남산동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
143,410,금정구,670,남산동,남산배수지,배수지,7.42,0.08,0.03,212.90,28.92,정상
144,410,금정구,670,남산동,남산동,블록,6.14,0.09,0.12,312.50,28.90,정상
