,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck,siguCd,dongCd
84,명장배수지,배수지,7.63,0.04,0.44,245.00,26.60,정상,470,730
85,연산배수지,배수지,7.11,0.10,0.19,249.23,29.23,정상,470,730
86,연산9동,블록,7.16,0.16,0.66,92.92,29.86,정상,470,730
87,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,720
88,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,720
89,연산8동,블록,6.76,0.16,0.12,330.24,29.86,정상,470,720
90,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,700
91,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,700
92,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,470,690
93,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,690
94,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,690
95,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,470,690
96,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,680
97,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,680
98,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,670
99,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,670
100,연산배수지,배수지,7.11,0.10,0.19,249.23,29.23,정상,470,670
101,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,660
102,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,660
103,연산배수지,배수지,7.11,0.10,0.19,249.23,29.23,정상,470,660
104,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,650
105,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,650
106,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,640
107,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,640
108,거제배수지,배수지,6.90,0.03,0.12,-,-,정상,470,640
109,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,470,630
110,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,470,630
111,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,470,620
112,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,620
113,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,620
114,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,470,620
115,거제배수지,배수지,6.90,0.03,0.12,-,-,정상,470,620
116,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,470,610
117,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,610
118,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,610
119,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,470,610
120,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,440,560
121,녹산배수지,배수지,7.20,0.23,0.44,-,-,정상,440,560
122,지사생활용수배수지,배수지,7.18,0.09,0.45,-,-,정상,440,560
123,녹산동,블록,7.21,0.07,0.52,247.00,28.00,정상,440,560
124,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,440,550
125,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,440,540
126,명지동,블록,6.95,0.17,0.51,-,-,정상,440,540
127,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,440,530
128,강동동,블록,6.95,0.17,0.51,-,-,정상,440,530
129,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,440,520
130,대저2동,블록,7.63,0.19,0.79,-,-,정상,440,520
131,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,440,510
132,대저1동,블록,7.63,0.19,0.79,-,-,정상,440,510
133,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,700
134,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,700
135,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,690
136,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,690
