"9,740,398","285,529","1,468,146"
"151,767","11,093","27,394"
"126,409","10,254","23,025"
"228,830","16,159","38,531"
"303,158","8,132","43,662"
"352,692","15,645","47,347"
"346,551","17,228","58,764"
"398,812","4,964","64,449"
"441,590","12,524","70,204"
"314,090","3,785","59,808"
"335,280","2,314","58,070"
"535,282","4,547","79,968"
"481,663","4,496","79,957"
"310,069","14,020","51,708"
"373,629","11,976","51,961"
"459,849","4,082","60,487"
"593,708","6,532","82,937"
"406,748","33,102","64,952"
"233,371","19,497","37,191"
"368,402","34,076","57,350"
"397,618","12,869","61,607"
"502,117","17,836","74,518"
"431,027","4,231","56,455"
"544,028","5,015","70,029"
"677,489","6,849","86,062"
"426,219","4,303","61,710"
